Player,Category,Stat
James Harden,GP,54
James Harden,MIN,37.4
James Harden,PTS,36.6
James Harden,FGM,10.8
James Harden,FGA,24.4
James Harden,FG%,44.1
James Harden,3PM,5.1
James Harden,3PA,13.6
James Harden,3P%,37.4
James Harden,FTM,10.0
James Harden,FTA,11.5
James Harden,FT%,87.1
James Harden,OREB,1.0
James Harden,DREB,5.7
James Harden,REB,6.7
James Harden,AST,7.7
James Harden,STL,2.2
James Harden,BLK,0.8
James Harden,TOV,5.4
James Harden,EFF,33.4
Paul George,GP,55
Paul George,MIN,36.2
Paul George,PTS,28.7
Paul George,FGM,9.4
Paul George,FGA,20.7
Paul George,FG%,45.4
Paul George,3PM,3.9
Paul George,3PA,9.5
Paul George,3P%,41.3
Paul George,FTM,5.9
Paul George,FTA,7.1
Paul George,FT%,83.6
Paul George,OREB,1.4
Paul George,DREB,6.6
Paul George,REB,8.0
Paul George,AST,4.1
Paul George,STL,2.3
Paul George,BLK,0.5
Paul George,TOV,2.6
Paul George,EFF,28.5
Stephen Curry,GP,46
Stephen Curry,MIN,34.3
Stephen Curry,PTS,28.6
Stephen Curry,FGM,9.6
Stephen Curry,FGA,19.6
Stephen Curry,FG%,48.8
Stephen Curry,3PM,5.1
Stephen Curry,3PA,11.5
Stephen Curry,3P%,44.4
Stephen Curry,FTM,4.3
Stephen Curry,FTA,4.7
Stephen Curry,FT%,92.2
Stephen Curry,OREB,0.7
Stephen Curry,DREB,4.4
Stephen Curry,REB,5.1
Stephen Curry,AST,5.2
Stephen Curry,STL,1.2
Stephen Curry,BLK,0.4
Stephen Curry,TOV,2.8
Stephen Curry,EFF,27.4
Anthony Davis,GP,44
Anthony Davis,MIN,36.4
Anthony Davis,PTS,28.5
Anthony Davis,FGM,10.1
Anthony Davis,FGA,20.0
Anthony Davis,FG%,50.8
Anthony Davis,3PM,0.9
Anthony Davis,3PA,2.8
Anthony Davis,3P%,32.0
Anthony Davis,FTM,7.3
Anthony Davis,FTA,9.0
Anthony Davis,FT%,81.0
Anthony Davis,OREB,3.2
Anthony Davis,DREB,9.9
Anthony Davis,REB,13.1
Anthony Davis,AST,4.3
Anthony Davis,STL,1.6
Anthony Davis,BLK,2.6
Anthony Davis,TOV,2.0
