Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
James Harden,54,37.4,36.6,10.8,24.4,44.1,5.1,13.6,37.4,10.0,11.5,87.1,1.0,5.7,6.7,7.7,2.2,0.8,5.4,33.4
Paul George,55,36.2,28.7,9.4,20.7,45.4,3.9,9.5,41.3,5.9,7.1,83.6,1.4,6.6,8.0,4.1,2.3,0.5,2.6,28.5
Stephen Curry,46,34.3,28.6,9.6,19.6,48.8,5.1,11.5,44.4,4.3,4.7,92.2,0.7,4.4,5.1,5.2,1.2,0.4,2.8,27.4
Anthony Davis,44,36.4,28.5,10.1,20.0,50.8,0.9,2.8,32.0,7.3,9.0,81.0,3.2,9.9,13.1,4.3,1.6,2.6,2.0,36.5
Kevin Durant,57,35.4,27.6,9.7,18.8,51.6,1.8,5.0,36.7,6.3,7.1,89.3,0.5,6.5,7.0,5.9,0.8,1.1,3.1,29.4
Joel Embiid,54,33.7,27.3,8.9,18.6,48.2,1.2,4.0,29.5,8.2,10.1,81.1,2.5,11.0,13.5,3.5,0.6,1.9,3.6,31.7
Giannis Antetokounmpo,53,33.2,27.2,10.0,17.2,58.1,0.5,2.5,22.3,6.6,9.2,71.7,2.3,10.4,12.7,6.0,1.4,1.4,3.8,35.0
Kawhi Leonard,43,34.7,27.0,9.3,18.8,49.2,1.8,4.9,36.3,6.7,7.7,86.4,1.3,6.3,7.7,3.3,1.9,0.4,2.1,27.5
Damian Lillard,56,35.3,26.3,8.7,19.3,45.0,2.9,7.8,37.3,6.1,6.7,90.7,0.8,3.7,4.5,6.4,1.2,0.5,2.8,24.8
Blake Griffin,54,36.3,26.3,8.9,18.6,47.9,2.5,6.8,36.5,6.0,7.9,75.9,1.4,6.7,8.1,5.4,0.7,0.4,3.7,25.6
Kemba Walker,56,34.5,25.2,8.7,20.0,43.5,3.3,9.1,36.7,4.5,5.4,83.1,0.6,3.8,4.4,5.7,1.3,0.5,2.6,22.3
Bradley Beal,58,37.2,25.1,9.2,19.6,47.2,2.5,7.2,34.9,4.2,5.1,81.5,1.1,3.9,5.1,5.4,1.4,0.8,2.9,23.6
Devin Booker,44,34.8,24.6,8.7,18.8,46.0,2.1,6.4,32.5,5.2,6.1,84.8,0.6,3.4,4.0,6.7,0.9,0.2,3.9,21.3
Kyrie Irving,47,32.5,23.6,8.9,17.9,49.8,2.5,6.2,40.9,3.2,3.7,86.6,1.2,3.7,4.9,6.9,1.6,0.4,2.7,25.2
Karl-Anthony Towns,57,33.1,23.1,8.4,16.4,51.2,1.8,4.5,38.9,4.6,5.4,84.7,3.4,8.7,12.0,3.2,0.9,1.8,2.9,29.4
Zach LaVine,51,34.0,23.0,8.2,17.7,46.2,1.7,4.9,34.9,4.9,5.7,85.9,0.5,3.9,4.5,4.4,0.9,0.4,3.3,19.5
